consumo (m3);mes;id_comuna
498381.18000000005;9;217
541651.51;10;217
582085.9299999999;11;217
609104.47;12;217
41467.8;1;55
42707.84;2;55
36457.100000000006;3;55
41027.02;4;55
38157.48;5;55
35718.32;6;55
33293.56;7;55
32214.77;8;55
34178.14;9;55
34833.7;10;55
35507.52;11;55
39098.44;12;55
23828.4;1;70
30337.4;2;70
23512.8;3;70
21264.6;4;70
21975.0;5;70
22045.4;6;70
25437.2;7;70
20776.2;8;70
19121.2;9;70
21204.8;10;70
20427.0;11;70
21714.33;12;70
77293.0;1;33
75268.0;2;33
70703.0;3;33
72427.0;4;33
62862.0;5;33
60672.0;6;33
55258.0;7;33
52599.0;8;33
54243.0;9;33
61591.0;10;33
62769.0;11;33
66203.0;12;33
29701.68;1;195
33827.68000000001;2;195
29316.74;3;195
29679.73;4;195
27445.38;5;195
25354.43;6;195
22747.82;7;195
14122.169999999998;8;195
21201.660000000003;9;195
22053.710000000003;10;195
25636.34;11;195
29603.88;12;195
63135.51;1;58
57025.47;2;58
57642.47;3;58
54963.08;4;58
50793.79;5;58
46979.0;6;58
42685.91;7;58
45324.92;8;58
42774.1;9;58
50792.87;10;58
47075.7;11;58
51587.68;12;58
44365.0;1;135
41697.0;2;135
41058.0;3;135
42329.0;4;135
37964.0;5;135
38196.0;6;135
39913.0;7;135
34628.0;8;135
36842.0;9;135
40637.0;10;135
37392.0;11;135
39651.0;12;135
115931.0;1;69
115955.0;2;69
111552.0;3;69
101324.0;4;69
90765.0;5;69
100134.0;6;69
91568.0;7;69
85806.0;8;69
89966.0;9;69
92783.0;10;69
89766.0;11;69
99893.0;12;69
372240.2199999999;1;110
367414.8300000001;2;110
371100.42;3;110
327209.65;4;110
311165.68000000005;5;110
272766.24999999994;6;110
272553.55;7;110
265425.62000000005;8;110
257656.62;9;110
282728.21;10;110
344176.62;11;110
338183.61;12;110
56855.97;1;9
54232.95;2;9
52517.380000000005;3;9
54444.16;4;9
48675.09;5;9
59191.78;6;9
51155.990000000005;7;9
50581.03;8;9
48298.05;9;9
50840.05;10;9
53264.04;11;9
53261.670000000006;12;9
253934.0;1;126
243607.0;2;126
239907.0;3;126
215229.0;4;126
220499.0;5;126
207260.0;6;126
207177.0;7;126
199237.0;8;126
210847.0;9;126
224670.0;10;126
229420.0;11;126
239313.0;12;126
172850.4;1;65
219469.60000000003;2;65
202108.16000000003;3;65
160931.25;4;65
127180.5;5;65
88941.99;6;65
77641.46;7;65
68661.98000000001;8;65
65037.73;9;65
89282.45999999999;10;65
111421.77;11;65
136568.52000000002;12;65
105808.01;1;119
150523.71999999997;2;119
147764.05;3;119
91317.41999999998;4;119
77909.62;5;119
63964.88999999999;6;119
58608.92999999999;7;119
70359.41;8;119
65709.01000000001;9;119
67103.63999999998;10;119
73584.61;11;119
82944.31;12;119
17307.34;1;24
16788.21;2;24
17990.38;3;24
16055.05;4;24
15266.88;5;24
13881.06;6;24
15720.35;7;24
14327.28;8;24
15400.99;9;24
15995.2;10;24
16194.08;11;24
17545.519999999997;12;24
750376.86;1;44
736067.24;2;44
672980.71;3;44
694254.0000000001;4;44
668294.77;5;44
639014.4199999999;6;44
625393.7699999999;7;44
613134.5;8;44
626748.54;9;44
646278.89;10;44
649569.74;11;44
668275.06;12;44
13359.0;1;56
14423.0;2;56
14096.0;3;56
12027.0;4;56
11676.0;5;56
12750.0;6;56
11675.0;7;56
11098.0;8;56
13025.0;9;56
12843.0;10;56
12655.0;11;56
13857.0;12;56
119564.0;1;207
145777.0;2;207
133882.0;3;207
76323.0;4;207
73414.0;5;207
68652.0;6;207
81986.0;7;207
78982.0;8;207
67786.0;9;207
73276.0;10;207
80665.0;11;207
83489.0;12;207
102860.0;1;94
90256.0;2;94
98892.0;3;94
93100.0;4;94
92132.0;5;94
88981.0;6;94
89691.0;7;94
89932.0;8;94
90627.0;9;94
88268.0;10;94
92331.0;11;94
97346.0;12;94
194035.18;1;59
193342.03000000003;2;59
202080.25000000003;3;59
191924.32;4;59
179721.34;5;59
175766.85;6;59
172926.24000000002;7;59
173736.41;8;59
167915.08999999997;9;59
184037.39;10;59
