codigo_cuenca,id_cuenca,nombre_cuenca,1,2,3,4,5,6,7,8,9,10,11,12
105,36,Rio Puelo,58279887.1144208,41405681.3896534,31996415.3580551,47235980.0402233,95149208.8775089,126487889.204169,105725511.963473,138696675.545131,105565411.678328,110683436.36134,118643039.970108,117111808.627222
107,37,Rio Yelcho,36078969.3098984,29629863.0953812,25505400.4014715,27171329.5420862,43494251.2225424,49621276.3932562,54943320.1484314,90154608.0393532,66835025.9331213,63837614.8607063,66898933.1592707,68292972.8691531
109,38,Islas Chiloe Y Circundantes,597134.277066502,816160.089558738,701473.3869644,2474956.14919244,5554396.5291027,6437755.93877702,7737388.49187415,6836959.75223753,4520406.13948527,3671698.38984716,3790395.16885798,2800133.49601447
110,39,Rio Palena Y Costeras Limite Decima Region,63829200.653684,40585963.5004798,52356787.3412862,53750437.2119795,64106745.7465134,79096164.34446,73252642.4722362,139019733.034369,70771600.2162285,93974388.6314621,154991604.770294,118562095.428248
111,40,Costeras E Islas R. Palena - R. Aisen,4932463.54797662,3790893.22866734,3857114.67226866,4026845.60805828,8266571.40569726,8251026.31556397,9987033.92585047,15078177.0045129,7624097.21258375,10955245.6450258,10179739.7831223,7232747.21512103
113,41,Rio Aisen,17268417.774631,13687662.2759124,13175189.5811314,16469191.280182,34288976.0319991,29222601.988905,36870703.2903317,51541656.7810188,36834297.4918493,44107508.6761768,45808739.8804613,50901914.1310091
115,42,Rio Baker,74744115.6900671,69687291.9566498,77448003.2960343,73130192.6796962,80388618.6867221,72281923.2455838,76084679.6345518,80545855.8149159,70347506.970944,76140276.307615,84302522.2933294,95521360.1275232
117,43,Rio Pascua,70440711.9030983,40585963.5004798,52356787.3412862,53750437.2119795,64106745.7465134,79096164.34446,73252642.4722362,139019733.034369,70771600.2162285,93974388.6314621,154991604.770294,118562095.428248
122,44,Costeras Seno Andrew  R Hollemberg,20149772.1624456,19238087.7204969,20227533.2156975,12975022.815638,10131423.9066616,8006698.21148627,10704786.4352505,8729098.0234847,10412407.2357545,16314544.9682444,20689766.1007703,26002495.9010501
124,45,Costeras E Islas Entre R Hollemberg Golfo Alte. Laguna Blanca,1092194.13752509,656964.20541942,1235701.71173007,858146.680539615,1309953.52639208,2126236.19469634,2059859.89202181,2297224.18945235,2389423.4259933,3122205.08756252,2948548.21885735,2368270.91803065
125,46,Costeras L Blanca E Magallanes,476712.267699373,333125.061540077,814243.964019131,776673.147424112,1285348.41358559,1480669.35042674,1622029.87184537,2597516.25658983,2838553.20944956,2109608.77555596,1730030.63398703,731321.018107802
126,47,Vertiente Del Atlantico,1103085.42158388,695635.164519919,1214378.74998427,1325586.48521753,1987528.15885664,2366784.45155727,2581024.79225151,2949578.32486893,5403682.20214614,4827745.6426885,4080004.22266819,2264105.21499322
128,48,Tierra Del Fuego,1448324.02963432,1122193.24417015,1420531.42024375,1578964.30297923,2458463.70357506,2431599.71927799,2800090.19590116,4092462.19472439,4545791.34408044,4031681.52410318,3601586.51740481,1830808.04316865
129,49,Islas Al Sur Del Canal Beagle Y Territorio Antartico,124346.056218319,68049.2288946279,68793.4622345515,71205.7263311066,66597.4357910884,63332.0090227471,79328.9920427044,92218.9581392245,97904.7045055045,167806.784867633,222336.852839078,165373.573233054
